x,y,cell,longitude,latitude,hadsst_winter_cellmean,hadsst_spring_cellmean,hadsst_summer_cellmean,hadsst_fall_cellmean,lag_hadsst_summer_cellmean
-70.5,42.5,522,-70.8901525614783,42.327512567862854,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.889055,42.328328,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.888444,42.3269,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.888049,42.328099,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.78767,42.53781,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.785875,42.53761,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.7857,42.53774,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.78569,42.53066,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.784795,42.5372,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.78454475,42.5319705,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.78437,42.53787,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.78394499999999,42.531355,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.78341,42.53677,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.783185,42.53191,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.782655,42.53225,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.782555,42.535955,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.78199,42.53159,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.78181000000001,42.53594,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.78151,42.53502,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.774833,42.502633,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.768589,42.959502,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.749777,42.968101,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.6256745998415,42.967719072165,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.6199330370873,42.9859418235719,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61969302150001,42.985661994,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61940333333334,42.985323333333334,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61931,42.98634833333333,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.6188,42.9895125,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61877000000001,42.98476,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61869,42.99015,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.618676003,42.9847199935,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.618576426059,42.9902022611349,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61849,42.99079,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61845500000001,42.984505,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61831,42.99084,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.618179962039,42.9842899180948,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
