latitude,longitude,min_year,max_year
44.55131,-67.51722,2010,2010
44.555111,-67.520045,2002,2002
44.5559,-67.5233,2004,2004
44.5559,-67.5232,2015,2015
44.55818,-64.02488,2005,2017
44.55907,-67.52656,2009,2009
44.5596,-67.4792,2017,2017
44.55968,-67.4794,2013,2013
44.55978,-67.48568,2009,2009
44.56232,-67.5291,2012,2012
44.5624,-67.529,2017,2017
44.565,-67.5275,2005,2005
44.57191,-67.40451,2009,2009
44.57199,-67.40965,2001,2001
44.572,-67.4097,2007,2007
44.5736,-67.4853,2007,2007
44.5772,-67.502,2016,2016
44.57755,-67.50234,2011,2011
44.5777,-67.4972,2017,2017
44.57796,-67.4977,2012,2012
44.57911606,-63.94153048,2000,2022
44.5798473,-64.05098297,2000,2022
44.58034,-67.48165,2008,2008
44.5822,-67.485,2016,2016
44.58406,-67.358,2013,2013
44.5841,-67.358,2007,2007
44.5852,-67.3524,2017,2017
44.586353,-64.060977,1968,2010
44.5938,-67.3753,2017,2017
44.59391,-67.371464,2002,2002
44.59395,-67.3754,2003,2003
44.59423,-67.3904,2013,2013
44.596,-63.961,2000,2022
44.5962,-67.4593,2006,2006
44.59653,-67.4561,2011,2011
44.5975,-67.3207,2015,2015
44.59754,-67.32067,2009,2009
44.5976,-67.3692,2007,2007
44.5983,-67.36613,2001,2001
44.5984,-67.3736,2014,2014
44.598408,-67.373578,2010,2010
44.5985,-67.4618,2014,2014
44.5987,-67.38786,2011,2011
44.59896,-67.38555,2008,2008
44.5996,-67.451046,2010,2010
44.6003,-67.4537,2015,2015
44.6005,-67.4467,2005,2005
44.6006,-67.4466,2018,2018
44.60202,-67.320541,2002,2002
44.60376,-67.4427,2009,2009
44.6038,-67.4427,2014,2014
44.605604,-67.26631,2002,2002
44.6057,-67.2641,2015,2015
44.605822,-67.277252,2010,2010
44.6086,-67.2589,2007,2007
44.60883,-67.2639,2013,2013
44.6089,-67.2639,2016,2016
44.6093,-67.2766,2016,2016
44.60932,-67.2764,2013,2013
44.6108,-67.272,2005,2005
44.6147,-67.273,2007,2007
44.61639,-67.37083,2001,2001
44.6197,-67.3764,2015,2015
44.619898,-67.311057,2010,2010
44.6204,-67.3112,2017,2017
44.6207,-67.3645,2016,2016
44.62086,-67.3707,2012,2012
44.62438,-67.3115,2012,2012
44.6245,-67.3679,2004,2004
44.62528,-67.36485,2003,2003
44.6253,-67.3648,2014,2014
44.6381,-67.242,2017,2017
44.6408,-67.2443,2018,2018
44.6413,-67.2454,2006,2006
44.6434,-67.1973,2006,2006
44.6436,-67.19338,2011,2011
44.64483,-67.18714,2001,2001
44.6472,-67.3317,2006,2006
44.6509,-67.3277,2018,2018
44.651207,-67.327633,2010,2010
44.65176,-67.3328,2012,2012
44.6584,-67.18971,2002,2002
44.6584,-67.1897,2013,2013
44.658434,-67.190369,2010,2010
44.66214,-67.16768,2003,2009
44.6624,-67.16127,2001,2001
44.66241,-67.18027,2008,2008
44.6626,-67.1862,2018,2018
44.7021,-67.1156,2006,2006
44.7022,-67.1192,2014,2014
44.7066,-67.1154,2018,2018
44.706638,-67.115479,2002,2002
44.7107,-67.1152,2017,2017
44.7419,-67.0704,2005,2005
44.7464,-67.0702,2006,2006
44.7507,-67.0697,2017,2017
44.76417,-67.0568,2012,2012
44.7642,-67.0568,2015,2015
44.7643,-67.0514,2016,2016
44.8449,-62.38682,2019,2022
44.8449,-62.386817,2018,2018
44.887067,-62.119667,2018,2018
44.88707,-62.11967,2019,2022
44.887967,-62.207,2018,2018
44.88797,-62.207,2019,2022
44.88955,-62.30292,2019,2022
44.88955,-62.302917,2018,2018
44.9066,-62.155933,2018,2018
44.9066,-62.15593,2019,2022
44.923967,-62.237667,2018,2018
44.92397,-62.23767,2019,2022
46.666667,-52.833333,1979,1983
48.3734,-69.3669,2009,2012
48.6273,-68.2008,2010,2012
48.6285,-68.1988,2009,2012
48.65575,-68.08760000000001,2011,2011
48.683,-67.9764,2009,2012
48.8104,-67.6439,2010,2011
49.30155,-67.67941,2019,2021
49.301653333333334,-67.68263666666667,2020,2020
49.30186,-67.68909,2019,2019
49.302036666666666,-67.68580666666666,2020,2021
49.302123333333334,-67.69233,2019,2019
